order_delivered_customer_month,product_category_name_english,total_revenue,total_revenue_ranking,order_count,order_count_ranking
2017-05-01,fashion_childrens_clothes,110.0,52,1,55
2017-05-01,christmas_supplies,69.0,56,1,55
2017-05-01,music,25.0,57,1,55
2017-05-01,arts_and_craftmanship,22.0,58,1,55
2017-06-01,bed_bath_table,33394.0,4,321,1
2017-06-01,housewares,23056.0,7,261,2
2017-06-01,health_beauty,36453.0,1,232,3
2017-06-01,sports_leisure,30409.0,6,231,4
2017-06-01,computers_accessories,36047.0,2,228,5
2017-06-01,cool_stuff,36012.0,3,201,6
2017-06-01,furniture_decor,18316.0,10,187,7
2017-06-01,telephony,8261.0,17,178,8
2017-06-01,toys,18595.0,9,160,9
2017-06-01,perfumery,21850.0,8,133,10
2017-06-01,watches_gifts,30517.0,5,117,11
2017-06-01,garden_tools,15256.0,12,101,12
2017-06-01,auto,16400.0,11,96,13
2017-06-01,fashion_bags_accessories,7580.0,18,93,14
2017-06-01,baby,9598.0,14,80,15
2017-06-01,pet_shop,5858.0,20,70,16
2017-06-01,,9707.0,13,68,17
2017-06-01,luggage_accessories,9177.0,16,60,18
2017-06-01,electronics,3390.0,26,48,19
2017-06-01,stationery,3870.0,24,40,20
2017-06-01,office_furniture,5288.0,21,33,21
2017-06-01,home_appliances,2021.0,30,32,22
2017-06-01,consoles_games,4126.0,22,27,23
2017-06-01,small_appliances,9598.0,14,23,24
2017-06-01,books_general_interest,1949.0,31,19,25
2017-06-01,fashion_shoes,2230.0,28,19,25
2017-06-01,home_confort,2785.0,27,18,27
2017-06-01,market_place,1670.0,32,18,27
2017-06-01,furniture_living_room,3581.0,25,18,27
2017-06-01,audio,2096.0,29,15,30
2017-06-01,musical_instruments,4045.0,23,14,31
2017-06-01,fixed_telephony,933.0,35,12,32
2017-06-01,kitchen_dining_laundry_garden_furniture,1303.0,34,8,33
2017-06-01,tablets_printing_image,823.0,36,8,33
2017-06-01,air_conditioning,521.0,40,7,35
2017-06-01,art,6819.0,19,6,36
2017-06-01,fashion_sport,481.0,42,5,37
2017-06-01,construction_tools_construction,376.0,43,4,38
2017-06-01,furniture_bedroom,547.0,39,4,38
2017-06-01,fashio_female_clothing,305.0,45,4,38
2017-06-01,fashion_male_clothing,280.0,46,4,38
2017-06-01,home_appliances_2,605.0,38,3,42
2017-06-01,signaling_and_security,637.0,37,3,42
2017-06-01,home_construction,1316.0,33,3,42
2017-06-01,costruction_tools_garden,248.0,48,3,42
2017-06-01,books_technical,171.0,51,3,42
2017-06-01,food_drink,83.0,56,3,42
2017-06-01,dvds_blu_ray,67.0,58,3,42
2017-06-01,furniture_mattress_and_upholstery,486.0,41,2,49
2017-06-01,industry_commerce_and_business,277.0,47,2,49
2017-06-01,drinks,140.0,53,2,49
2017-06-01,music,329.0,44,1,52
2017-06-01,la_cuisine,193.0,49,1,52
2017-06-01,fashion_underwear_beach,192.0,50,1,52
2017-06-01,food,150.0,52,1,52
2017-06-01,fashion_childrens_clothes,110.0,54,1,52
2017-06-01,books_imported,99.0,55,1,52
2017-06-01,cine_photo,79.0,57,1,52
2017-06-01,agro_industry_and_commerce,60.0,59,1,52
2017-06-01,home_comfort_2,13.0,60,1,52
2017-07-01,bed_bath_table,56102.0,1,461,1
2017-07-01,sports_leisure,32919.0,4,288,2
2017-07-01,health_beauty,31440.0,5,252,3
2017-07-01,housewares,21400.0,9,233,4
2017-07-01,furniture_decor,24805.0,8,226,5
2017-07-01,cool_stuff,39614.0,2,222,6
2017-07-01,computers_accessories,35992.0,3,206,7
2017-07-01,toys,18854.0,10,180,8
2017-07-01,watches_gifts,29909.0,6,129,9
2017-07-01,garden_tools,14805.0,11,112,10
2017-07-01,baby,12524.0,13,110,11
2017-07-01,telephony,6302.0,16,110,11
2017-07-01,perfumery,13771.0,12,108,13
2017-07-01,auto,27049.0,7,102,14
2017-07-01,office_furniture,12206.0,14,72,15
2017-07-01,electronics,5641.0,20,70,16
2017-07-01,fashion_bags_accessories,4806.0,23,64,17
2017-07-01,pet_shop,5655.0,19,62,18
2017-07-01,stationery,4937.0,21,59,19
2017-07-01,luggage_accessories,7770.0,15,59,19
2017-07-01,,2827.0,27,46,21
2017-07-01,home_appliances,2168.0,29,37,22
2017-07-01,home_confort,4895.0,22,34,23
2017-07-01,consoles_games,3534.0,24,28,24
2017-07-01,small_appliances,6302.0,16,28,24
2017-07-01,musical_instruments,6185.0,18,22,26
2017-07-01,furniture_living_room,2894.0,25,21,27
2017-07-01,fashion_shoes,940.0,34,16,28
2017-07-01,books_general_interest,1107.0,32,11,29
2017-07-01,market_place,1112.0,31,9,30
2017-07-01,costruction_tools_garden,750.0,37,9,30
2017-07-01,fixed_telephony,245.0,49,8,32
2017-07-01,air_conditioning,2859.0,26,8,32
2017-07-01,fashion_male_clothing,528.0,41,8,32
2017-07-01,home_appliances_2,1166.0,30,7,35
2017-07-01,food_drink,168.0,53,7,35
2017-07-01,audio,758.0,36,6,37
2017-07-01,dvds_blu_ray,823.0,35,5,38
2017-07-01,kitchen_dining_laundry_garden_furniture,649.0,40,5,38
2017-07-01,food,407.0,44,5,38
2017-07-01,art,435.0,43,4,41
2017-07-01,cds_dvds_musicals,180.0,52,3,42
2017-07-01,music,987.0,33,3,42
2017-07-01,signaling_and_security,466.0,42,3,42
2017-07-01,la_cuisine,341.0,45,3,42
2017-07-01,construction_tools_construction,300.0,46,3,42
2017-07-01,christmas_supplies,244.0,50,3,42
2017-07-01,industry_commerce_and_business,246.0,48,2,48
2017-07-01,agro_industry_and_commerce,2570.0,28,2,48
2017-07-01,drinks,274.0,47,2,48
2017-07-01,tablets_printing_image,198.0,51,2,48
2017-07-01,home_construction,704.0,39,2,48
2017-07-01,furniture_bedroom,739.0,38,2,48
2017-07-01,fashio_female_clothing,115.0,55,2,48
2017-07-01,fashion_sport,110.0,56,2,48
2017-07-01,fashion_underwear_beach,64.0,58,2,48
2017-07-01,arts_and_craftmanship,130.0,54,1,57
2017-07-01,small_appliances_home_oven_and_coffee,72.0,57,1,57
2017-07-01,home_comfort_2,13.0,59,1,57
2017-08-01,bed_bath_table,58200.0,1,466,1
2017-08-01,sports_leisure,42720.0,3,370,2
2017-08-01,computers_accessories,40078.0,4,334,3
2017-08-01,health_beauty,48208.0,2,328,4
2017-08-01,furniture_decor,29873.0,7,315,5
2017-08-01,housewares,23623.0,8,267,6
2017-08-01,cool_stuff,35827.0,5,231,7
2017-08-01,garden_tools,23276.0,9,193,8
2017-08-01,watches_gifts,35727.0,6,188,9
2017-08-01,toys,21640.0,10,188,9
2017-08-01,telephony,10844.0,15,148,11
2017-08-01,auto,18120.0,12,131,12
2017-08-01,perfumery,14758.0,14,118,13
2017-08-01,baby,18202.0,11,116,14
2017-08-01,fashion_bags_accessories,7161.0,20,99,15
2017-08-01,stationery,7573.0,19,81,16
2017-08-01,office_furniture,15716.0,13,80,17
2017-08-01,luggage_accessories,8429.0,18,77,18
2017-08-01,consoles_games,8769.0,17,69,19
2017-08-01,pet_shop,9007.0,16,68,20
2017-08-01,electronics,5014.0,23,64,21
2017-08-01,,3694.0,25,55,22
2017-08-01,home_appliances,5614.0,21,46,23
2017-08-01,small_appliances,3929.0,24,37,24
2017-08-01,home_confort,3197.0,26,25,25
2017-08-01,furniture_living_room,2790.0,28,24,26
2017-08-01,books_general_interest,2271.0,31,23,27
2017-08-01,market_place,2100.0,32,22,28
2017-08-01,musical_instruments,5066.0,22,21,29
2017-08-01,fashion_shoes,1716.0,34,21,29
2017-08-01,fixed_telephony,3026.0,27,14,31
2017-08-01,fashion_male_clothing,1417.0,36,13,32
2017-08-01,kitchen_dining_laundry_garden_furniture,1932.0,33,12,33
2017-08-01,home_appliances_2,2457.0,30,10,34
2017-08-01,fashion_underwear_beach,864.0,41,9,35
2017-08-01,books_technical,1605.0,35,9,35
2017-08-01,food,500.0,44,9,35
2017-08-01,air_conditioning,2630.0,29,8,38
2017-08-01,audio,1222.0,37,8,38
2017-08-01,food_drink,307.0,46,8,38
2017-08-01,construction_tools_construction,1018.0,38,6,41
2017-08-01,fashio_female_clothing,365.0,45,5,42
2017-08-01,costruction_tools_garden,922.0,39,4,43
2017-08-01,signaling_and_security,259.0,48,4,43
2017-08-01,furniture_bedroom,558.0,43,3,45
2017-08-01,cds_dvds_musicals,180.0,52,3,45
2017-08-01,dvds_blu_ray,54.0,59,3,45
2017-08-01,art,200.0,51,3,45
2017-08-01,construction_tools_lights,720.0,42,2,49
2017-08-01,la_cuisine,303.0,47,2,49
2017-08-01,furniture_mattress_and_upholstery,219.0,49,2,49
2017-08-01,home_construction,218.0,50,2,49
2017-08-01,industry_commerce_and_business,867.0,40,2,49
2017-08-01,drinks,120.0,53,2,49
2017-08-01,tablets_printing_image,114.0,54,2,49
2017-08-01,christmas_supplies,6.0,62,1,56
2017-08-01,music,80.0,55,1,56
2017-08-01,party_supplies,70.0,56,1,56
2017-08-01,books_imported,61.0,57,1,56
2017-08-01,fashion_sport,60.0,58,1,56
2017-08-01,small_appliances_home_oven_and_coffee,22.0,60,1,56
2017-08-01,home_comfort_2,13.0,61,1,56
2017-09-01,bed_bath_table,51332.0,2,440,1
2017-09-01,sports_leisure,44137.0,4,387,2
2017-09-01,health_beauty,46500.0,3,330,3
2017-09-01,furniture_decor,29868.0,7,264,4
2017-09-01,housewares,20453.0,12,222,5
2017-09-01,watches_gifts,43247.0,5,218,6
2017-09-01,computers_accessories,25530.0,8,210,7
2017-09-01,toys,20583.0,11,192,8
2017-09-01,cool_stuff,35649.0,6,186,9
2017-09-01,garden_tools,21071.0,10,170,10
2017-09-01,telephony,16530.0,13,152,11
2017-09-01,baby,23063.0,9,141,12
2017-09-01,perfumery,13551.0,15,134,13
2017-09-01,auto,13961.0,14,95,14
2017-09-01,fashion_bags_accessories,9003.0,19,79,15
2017-09-01,pet_shop,10810.0,16,78,16
2017-09-01,consoles_games,7386.0,21,71,17
2017-09-01,,5642.0,22,69,18
2017-09-01,stationery,4919.0,23,57,19
2017-09-01,computers,68279.0,1,56,20
2017-09-01,electronics,2516.0,28,50,21
2017-09-01,luggage_accessories,4654.0,24,44,22
2017-09-01,office_furniture,8244.0,20,35,23
2017-09-01,musical_instruments,10675.0,17,30,24
2017-09-01,small_appliances,9121.0,18,27,25
2017-09-01,home_confort,3977.0,25,20,26
2017-09-01,home_appliances,2336.0,29,20,26
2017-09-01,books_general_interest,1338.0,34,19,28
2017-09-01,furniture_living_room,1981.0,30,16,29
2017-09-01,fashion_underwear_beach,1467.0,32,15,30
2017-09-01,market_place,1387.0,33,15,30
2017-09-01,fashion_shoes,965.0,36,12,32
2017-09-01,home_appliances_2,2763.0,26,11,33
2017-09-01,food,867.0,39,10,34
2017-09-01,air_conditioning,2579.0,27,10,34
2017-09-01,construction_tools_construction,1692.0,31,9,36
2017-09-01,food_drink,307.0,54,8,37
2017-09-01,fashion_male_clothing,578.0,43,7,38
2017-09-01,fixed_telephony,481.0,45,7,38
2017-09-01,books_technical,757.0,40,6,40
2017-09-01,tablets_printing_image,472.0,47,6,40
2017-09-01,home_construction,912.0,37,5,42
2017-09-01,audio,627.0,42,5,42
2017-09-01,costruction_tools_garden,456.0,49,5,42
2017-09-01,kitchen_dining_laundry_garden_furniture,384.0,50,4,45
2017-09-01,dvds_blu_ray,80.0,63,4,45
2017-09-01,drinks,235.0,58,4,45
2017-09-01,christmas_supplies,314.0,53,4,45
2017-09-01,signaling_and_security,335.0,52,4,45
2017-09-01,agro_industry_and_commerce,1286.0,35,3,50
2017-09-01,furniture_bedroom,479.0,46,3,50
2017-09-01,books_imported,290.0,56,3,50
2017-09-01,art,345.0,51,2,53
2017-09-01,furniture_mattress_and_upholstery,486.0,44,2,53
2017-09-01,construction_tools_safety,295.0,55,2,53
2017-09-01,costruction_tools_tools,897.0,38,2,53
2017-09-01,industry_commerce_and_business,200.0,60,2,53
2017-09-01,fashio_female_clothing,67.0,65,2,53
2017-09-01,construction_tools_lights,458.0,48,2,53
2017-09-01,small_appliances_home_oven_and_coffee,641.0,41,1,60
2017-09-01,party_supplies,270.0,57,1,60
2017-09-01,fashion_sport,206.0,59,1,60
2017-09-01,la_cuisine,139.0,61,1,60
2017-09-01,security_and_services,100.0,62,1,60
2017-09-01,home_comfort_2,26.0,66,1,60
2017-09-01,cine_photo,69.0,64,1,60
2017-10-01,sports_leisure,53078.0,2,438,1
2017-10-01,bed_bath_table,47054.0,4,429,2
2017-10-01,health_beauty,47486.0,3,354,3
2017-10-01,toys,40199.0,7,320,4
2017-10-01,watches_gifts,59946.0,1,287,5
2017-10-01,furniture_decor,31025.0,9,260,6
2017-10-01,cool_stuff,40752.0,5,234,7
2017-10-01,computers_accessories,37669.0,8,233,8
2017-10-01,garden_tools,25700.0,10,204,9
2017-10-01,housewares,18064.0,13,200,10
2017-10-01,telephony,19101.0,12,192,11
2017-10-01,perfumery,15269.0,16,166,12
2017-10-01,baby,16385.0,15,147,13
2017-10-01,auto,24336.0,11,133,14
2017-10-01,fashion_bags_accessories,9771.0,20,111,15
2017-10-01,consoles_games,10260.0,19,85,16
2017-10-01,stationery,6579.0,23,80,17
2017-10-01,,12936.0,17,63,18
